,date,open,high,low,close,volume,recent_volume30,average_volume120,rsi
0,2022-03-25 09:15:00+05:30,2333.0,2337.65,2316.05,2318.4,196317,,,
1,2022-03-25 09:20:00+05:30,2318.4,2320.55,2310.35,2311.5,57612,,,
2,2022-03-25 09:25:00+05:30,2311.5,2313.75,2302.6,2311.0,72107,,,
3,2022-03-25 09:30:00+05:30,2311.0,2311.65,2306.05,2306.1,24273,,,
4,2022-03-25 09:35:00+05:30,2307.05,2307.05,2298.25,2300.65,235073,,,
5,2022-03-25 09:40:00+05:30,2300.8,2301.8,2298.9,2300.0,119241,,,
6,2022-03-25 09:45:00+05:30,2299.95,2303.2,2296.55,2302.1,70238,,,
7,2022-03-25 09:50:00+05:30,2302.75,2303.6,2300.05,2301.2,32406,,,
8,2022-03-25 09:55:00+05:30,2302.5,2302.55,2299.3,2301.55,88505,,,
9,2022-03-25 10:00:00+05:30,2301.55,2308.55,2301.55,2307.6,34527,,,
10,2022-03-25 10:05:00+05:30,2307.6,2308.35,2305.0,2307.65,28539,,,
11,2022-03-25 10:10:00+05:30,2307.65,2308.25,2300.7,2301.45,18855,,,
12,2022-03-25 10:15:00+05:30,2301.45,2301.45,2287.45,2289.7,152169,,,
13,2022-03-25 10:20:00+05:30,2289.5,2293.1,2288.45,2292.9,45247,,,
14,2022-03-25 10:25:00+05:30,2292.9,2293.9,2288.0,2290.6,52891,,,22.90448343079962
15,2022-03-25 10:30:00+05:30,2290.05,2292.0,2288.6,2291.75,21131,,,24.72181551976623
16,2022-03-25 10:35:00+05:30,2291.05,2293.8,2290.75,2292.65,18598,,,26.188241270402784
17,2022-03-25 10:40:00+05:30,2292.7,2295.1,2290.7,2293.7,27054,,,27.95162411049964
18,2022-03-25 10:45:00+05:30,2293.55,2295.95,2292.6,2295.85,21367,,,31.557263317064038
19,2022-03-25 10:50:00+05:30,2295.45,2295.85,2293.95,2294.95,12593,,,30.861026206298302
20,2022-03-25 10:55:00+05:30,2294.95,2296.15,2293.05,2295.3,13751,,,31.494015789420832
21,2022-03-25 11:00:00+05:30,2295.3,2295.35,2289.45,2291.0,28800,,,28.091265826249824
22,2022-03-25 11:05:00+05:30,2291.0,2294.95,2288.75,2294.95,58775,,,35.0350242213887
23,2022-03-25 11:10:00+05:30,2294.95,2297.7,2294.15,2297.3,11725,,,38.82012127158123
24,2022-03-25 11:15:00+05:30,2297.3,2297.3,2295.0,2295.6,12471,,,37.13457032392116
25,2022-03-25 11:20:00+05:30,2295.6,2295.65,2293.0,2295.05,27281,,,36.58116795329381
26,2022-03-25 11:25:00+05:30,2295.1,2296.35,2294.1,2296.05,27235,,,38.37925837190454
27,2022-03-25 11:30:00+05:30,2296.05,2296.4,2295.0,2295.15,25404,,,37.35279470623457
28,2022-03-25 11:35:00+05:30,2295.15,2295.15,2290.8,2293.25,50577,,,35.21172838219544
29,2022-03-25 11:40:00+05:30,2293.25,2295.0,2289.0,2294.95,98787,56118.3,,38.60278984278606
30,2022-03-25 11:45:00+05:30,2294.95,2298.05,2294.6,2298.0,13682,50030.46666666667,,44.24157285553797
31,2022-03-25 11:50:00+05:30,2298.0,2299.9,2296.2,2298.4,17099,48680.03333333333,,44.955567540325305
32,2022-03-25 11:55:00+05:30,2298.45,2299.8,2295.0,2298.4,16284,46819.26666666667,,44.9555675403253
33,2022-03-25 12:00:00+05:30,2298.4,2298.4,2294.0,2294.0,37466,47259.03333333333,,38.64285864813533
34,2022-03-25 12:05:00+05:30,2294.0,2294.0,2289.7,2291.55,41275,40799.1,,35.641701112180996
35,2022-03-25 12:10:00+05:30,2291.55,2294.0,2290.0,2292.05,28324,37768.53333333333,,36.721796938050126
36,2022-03-25 12:15:00+05:30,2292.05,2294.75,2292.05,2293.8,23606,36214.13333333333,,40.48646106062145
37,2022-03-25 12:20:00+05:30,2293.8,2294.25,2292.6,2294.0,31584,36186.73333333333,,40.91907055505035
38,2022-03-25 12:25:00+05:30,2294.0,2294.0,2291.3,2293.5,9408,33550.166666666664,,40.13362985207134
39,2022-03-25 12:30:00+05:30,2293.5,2295.1,2291.95,2294.05,24810,33226.26666666667,,41.46464580900508
